mandarin,shanghainese,aliases,weight,enabled,category,note,source,status
你好,侬好,你好啊|您好,180,true,greeting,常用问候,manual,approved
怎么回事,哪能为实事,怎么一回事|怎么回事啊,195,true,question,首选示例,manual,approved
怎么回事,哪能回事,这是怎么回事,175,true,question,常见口语短写,manual,approved
你在做什么,侬勒做啥,你在干什么|你在做啥,188,true,question,高频短句,manual,approved
今天下雨了,今朝落雨了,今天下雨啦|今天下雨,188,true,weather,验收样例,manual,approved
今天下雨了,今朝下雨了,,168,true,weather,偏普通话写法,manual,approved
你好吗,侬好伐,你还好吗|你最近好吗,176,true,greeting,固定问候,manual,approved
谢谢,谢谢侬,谢谢你,156,true,courtesy,礼貌表达,manual,approved
再见,再会,回头见|下次见,150,true,courtesy,固定告别,manual,approved
没关系,呒没关系,没有关系|没啥关系,152,true,response,高频回应,manual,approved
不知道,勿晓得,不晓得,172,true,response,高频词组,manual,approved
不要,勿要,别要,160,true,verb,高频否定,manual,approved
不要,覅,,145,true,verb,沪语常见变体,manual,approved
没有,呒没,没,158,true,response,高频否定,manual,approved
我们,阿拉,,170,true,pronoun,常用代词,manual,approved
你们,侬伲,,160,true,pronoun,常用代词,manual,approved
你,侬,,165,true,pronoun,常用代词,manual,approved
我,吾,,165,true,pronoun,常用代词,manual,approved
他,伊,,160,true,pronoun,常用代词,manual,approved
她,伊,,160,true,pronoun,常用代词,manual,approved
什么,啥,啥子,166,true,question,疑问词,manual,approved
怎么,哪能,,170,true,question,疑问词,manual,approved
为什么,做啥,为何,160,true,question,疑问词,manual,approved
哪里,阿里,哪儿,155,true,question,方位词,manual,approved
这里,搿搭,这儿,155,true,position,方位词,manual,approved
那里,埃搭,那儿,155,true,position,方位词,manual,approved
现在,现在,这会儿,110,true,time,通用词保留,manual,approved
今天,今朝,,165,true,time,时间词,manual,approved
昨天,昨朝,,148,true,time,时间词,manual,approved
明天,明朝,,148,true,time,时间词,manual,approved
下雨,落雨,,160,true,weather,天气词,manual,approved
喜欢,欢喜,,150,true,verb,常用动词,manual,approved
很,蛮,,140,true,adverb,程度副词,manual,approved
很好,蛮好,挺好,152,true,response,高频短句,manual,approved
吃饭,吃饭,,120,true,life,通用词,manual,approved
回家,转去,回去,142,true,verb,常用动词,manual,approved
别客气,勿要客气,不用客气,150,true,courtesy,礼貌表达,manual,approved
请问,请问,,118,true,courtesy,通用表达,manual,approved
身体好吗,身体好伐,身体还好吗,146,true,greeting,问候语,manual,approved
今天很抱歉,今朝老勿好意思额,今天真不好意思,144,true,courtesy,情景短句,manual,approved
我没事儿,吾呒没关系额,我没事|我没关系,144,true,response,情景短句,manual,approved
朋友,朋友,,116,true,noun,通用词,manual,approved
不认识,勿认得,不认得,148,true,verb,常用短语,manual,approved
等了这么长时间,等了介许多辰光,等了这么久,144,true,phrase,情景短语,manual,approved
早上好,侬早,早安,162,true,greeting,晨间问候,manual,approved
晚上好,夜里好,,138,true,greeting,晚间问候,manual,approved
对不起,对勿起,抱歉,164,true,courtesy,道歉表达,manual,approved
不好意思,勿好意思,,154,true,courtesy,常用道歉,manual,approved
没事,呒没事,,150,true,response,常用回应,manual,approved
不要紧,勿要紧,别紧张,145,true,response,常用回应,manual,approved
不行,伐来塞,不可以,166,true,response,常用否定,manual,approved
行,来塞,可以,145,true,response,常用肯定,manual,approved
知道,晓得,,150,true,verb,常用动词,manual,approved
认识,认得,,145,true,verb,常用动词,manual,approved
